num_hilos,modo,tiempo_promedio,tiempo_mediana,desviacion_std,tiempo_min,tiempo_max,num_ejecuciones,aceleracion,eficiencia
1,Forma 1 (OMP_NUM_THREADS),0.40026189,0.39944349999999995,0.00873892455868132,0.38095,0.421096,100,1.0,1.0
1,Forma 2 (omp_set_num_threads),0.38197707000000003,0.3835465,0.01851161888169997,0.353347,0.411804,100,1.0,1.0
1,Forma 3 (num_threads),0.38447721,0.387274,0.01780009004874232,0.351833,0.420999,100,1.0,1.0
2,Forma 1 (OMP_NUM_THREADS),0.19944752000000002,0.2014125,0.008654540146131994,0.171093,0.209151,100,2.0068531812278234,1.0034265906139117
2,Forma 2 (omp_set_num_threads),0.19416529000000002,0.1933365,0.004190872111680906,0.18719,0.209107,100,1.967277828081425,0.9836389140407125
2,Forma 3 (num_threads),0.19441209,0.192925,0.017234139176455388,0.167966,0.28365,100,1.9776404337816644,0.9888202168908322
4,Forma 1 (OMP_NUM_THREADS),0.11319720999999999,0.109834,0.01492873513710516,0.100964,0.175627,100,3.535969570274745,0.8839923925686862
4,Forma 2 (omp_set_num_threads),0.10970777,0.107977,0.00813357246525632,0.098889,0.152277,100,3.4817686112843242,0.8704421528210811
4,Forma 3 (num_threads),0.10943472,0.1088905,0.005733008741833506,0.099464,0.123881,100,3.513301902723377,0.8783254756808443
8,Forma 1 (OMP_NUM_THREADS),0.11053129,0.107656,0.015423968066455875,0.095415,0.198207,100,3.6212541263202485,0.45265676579003106
8,Forma 2 (omp_set_num_threads),0.12425497999999999,0.1201035,0.015745641989330306,0.100761,0.173837,100,3.074138919824381,0.38426736497804764
8,Forma 3 (num_threads),0.11710545,0.11473900000000001,0.011334385047792234,0.101464,0.166083,100,3.2831709369632245,0.41039636712040306
16,Forma 1 (OMP_NUM_THREADS),0.11060112,0.1094685,0.008067003761150982,0.099135,0.142821,100,3.6189677826047335,0.22618548641279584
16,Forma 2 (omp_set_num_threads),0.10209141000000001,0.10082050000000001,0.00444053597205235,0.097475,0.121696,100,3.741520172950888,0.2338450108094305
16,Forma 3 (num_threads),0.10574987999999999,0.104245,0.006126332869661818,0.097254,0.122743,100,3.635722423514807,0.22723265146967545
24,Forma 1 (OMP_NUM_THREADS),0.11398681,0.1119715,0.013644012153703327,0.099213,0.212268,100,3.5114754944015014,0.14631147893339588
24,Forma 2 (omp_set_num_threads),0.10628724,0.106236,0.0027004072162800465,0.100842,0.124204,100,3.5938186935703667,0.14974244556543195
24,Forma 3 (num_threads),0.10424896,0.1037115,0.004686471401854932,0.09839,0.131317,100,3.688067583599875,0.15366948264999478
64,Forma 1 (OMP_NUM_THREADS),0.10448141,0.10439999999999999,0.0028531201743340413,0.099834,0.119903,100,3.8309388244281926,0.05985841913169051
64,Forma 2 (omp_set_num_threads),0.10440305,0.104087,0.0029080955042985134,0.099883,0.117139,100,3.658677308756785,0.057166832949324765
64,Forma 3 (num_threads),0.10867634000000001,0.10816500000000001,0.0027804401265579775,0.103564,0.129113,100,3.5378189033601974,0.055278420365003085
128,Forma 1 (OMP_NUM_THREADS),0.1083356,0.1080605,0.0027875186714055216,0.102834,0.121346,100,3.6946478350606817,0.028864436211411576
128,Forma 2 (omp_set_num_threads),0.10705094000000001,0.1074175,0.0022073551604679426,0.102449,0.114653,100,3.568180438210071,0.027876409673516178
128,Forma 3 (num_threads),0.10906671,0.109258,0.002583277681883458,0.102877,0.119205,100,3.525156392816837,0.027540284318881537
